"ORDEN","CLASE","MARCA","MODELO","FECHA MATRICULA/RADICACION","AÑO","MES","DIA"
"167","AUTOMOVIL","CHEVROLET","2000","10/05/2000","2000","05.mayo","10.miércoles"
"168","CAMPERO","WILLYS","1997","10/02/2000","2000","02.febrero","10.jueves"
"169","AUTOMOVIL","HYUNDAI","2000","10/05/2000","2000","05.mayo","10.miércoles"
"170","AUTOMOVIL","CHEVROLET","2000","19/01/2000","2000","01.enero","19.miércoles"
"171","CAMPERO","TOYOTA","1997","23/11/2000","2000","11.noviembre","23.jueves"
"172","MOTOCICLETA","SUZUKI","2000","27/03/2000","2000","03.marzo","27.lunes"
"173","MOTOCICLETA","YAMAHA","2000","23/03/2000","2000","03.marzo","23.jueves"
"174","MOTOCICLETA","YAMAHA","2000","14/03/2000","2000","03.marzo","14.martes"
"175","MOTOCICLETA","HONDA","1997","11/05/2000","2000","05.mayo","11.jueves"
"176","BUS","DODGE","1973","03/08/2000","2000","08.agosto","03.jueves"
"177","MOTOCICLETA","SUZUKI","2000","08/09/2000","2000","09.septiembre","08.viernes"
"178","CAMIONETA","CHEVROLET","2000","20/01/2000","2000","01.enero","20.jueves"
"179","AUTOMOVIL","MAZDA","1994","17/11/2000","2000","11.noviembre","17.viernes"
"180","MOTOCICLETA","YAMAHA","1999","01/08/2000","2000","08.agosto","01.martes"
"181","AUTOMOVIL","CHEVROLET","1990","03/08/2000","2000","08.agosto","03.jueves"
"182","CAMION","MAZDA","2000","05/01/2000","2000","01.enero","05.miércoles"
"183","BUSETA","NON PLUS ULTRA","2000","02/10/2000","2000","10.octubre","02.lunes"
"184","AUTOMOVIL","RENAULT","2000","27/01/2000","2000","01.enero","27.jueves"
"185","BUSETA","CHEVROLET","2000","30/05/2000","2000","05.mayo","30.martes"
"186","MOTOCICLETA","HONDA","2000","10/08/2000","2000","08.agosto","10.jueves"
"187","MOTOCICLETA","HONDA","2001","25/09/2000","2000","09.septiembre","25.lunes"
"188","MOTOCICLETA","HONDA","2000","11/02/2000","2000","02.febrero","11.viernes"
"189","AUTOMOVIL","CHEVROLET","2000","17/02/2000","2000","02.febrero","17.jueves"
"190","MOTOCICLETA","SUZUKI","2000","02/03/2000","2000","03.marzo","02.jueves"
"191","AUTOMOVIL","CHEVROLET","1996","31/10/2000","2000","10.octubre","31.martes"
"192","MOTOCICLETA","AUTECO KAWASAKI","1999","14/04/2000","2000","04.abril","14.viernes"
"193","MOTOCICLETA","KAWASAKI","1996","28/08/2000","2000","08.agosto","28.lunes"
"194","MOTOCICLETA","SUZUKI","2000","25/09/2000","2000","09.septiembre","25.lunes"
"195","MOTOCICLETA","HONDA","2000","07/09/2000","2000","09.septiembre","07.jueves"
"196","MOTOCICLETA","YAMAHA","2000","17/03/2000","2000","03.marzo","17.viernes"
"197","MOTOCICLETA","YAMAHA","2000","16/08/2000","2000","08.agosto","16.miércoles"
"198","AUTOMOVIL","FORD","2000","23/07/2000","2000","07.julio","23.domingo"
"199","MOTOCICLETA","HONDA","2000","05/04/2000","2000","04.abril","05.miércoles"
